word,startTime,endTime
HE,0.76,0.88
WAS,0.88,1.04
AN,1.04,1.12
OLD,1.12,1.41
MAN,1.41,1.79
WHO,1.87,2.08
FISHED,2.08,2.41
ALONE,2.41,2.77
IN,2.77,2.88
A,2.88,2.95
SKIFF,2.95,3.41
IN,3.41,3.49
THE,3.49,3.59
GULF,3.59,3.9
STREAM,3.9,4.37
AND,4.5,4.65
HE,4.65,4.71
HAD,4.71,4.82
GONE,4.82,5.08
EIGHTY,5.08,5.37
FOUR,5.37,5.59
DAYS,5.59,6.01
NOW,6.01,6.25
WITHOUT,6.25,6.55
TAKING,6.55,6.95
A,6.95,7.0
FISH,7.0,7.42
IN,7.42,7.48
THE,8.58,8.77
FIRST,8.77,9.09
FORTY,9.09,9.39
DAYS,9.39,9.77
A,9.77,9.82
BOY,9.82,10.14
HAD,10.14,10.31
BEEN,10.31,10.45
WITH,10.45,10.65
HIM,10.65,10.9
BUT,11.2,11.34
AFTER,11.34,11.59
FORTY,11.59,11.91
DAYS,11.91,12.27
WITHOUT,12.27,12.56
A,12.56,12.6
FISH,12.6,13.03
THE,13.03,13.14
BOY,13.14,13.36
S,13.36,13.43
PARENTS,13.43,13.86
HAD,13.86,14.03
TOLD,14.03,14.28
HIM,14.28,14.46
THAT,14.46,14.59
THE,14.59,14.72
OLD,14.72,14.93
MAN,14.93,15.16
WAS,15.16,15.33
NOW,15.33,15.51
DEFINITELY,15.51,16.24
AND,16.24,16.39
FINALLY,16.39,16.9
SALAO,16.9,17.51
WHICH,17.89,18.08
IS,18.08,18.2
THE,18.2,18.29
WORST,18.29,18.66
FORM,18.66,18.97
OF,18.97,19.08
UNLUCKY,19.08,19.67
AND,20.43,20.51
THE,20.51,20.59
BOY,20.59,20.89
HAD,20.89,21.05
GONE,21.05,21.31
AT,21.31,21.38
THEIR,21.38,21.57
ORDERS,21.57,22.04
IN,22.04,22.15
ANOTHER,22.15,22.47
BOAT,22.47,22.84
WHICH,22.84,23.04
CAUGHT,23.04,23.3
THREE,23.3,23.65
